n_estimators,learning_rate,max_depth,subsample,colsample_bytree,gamma,min_child_weight,mean_loss,mean_mae,mean_mape,execution_time
100,0.01,8,1.0,0.8,0.1,5,288.5880149392899,13.406425991602607,0.15547856293372636,75.29550504684448
100,0.01,8,1.0,0.8,0.3,1,280.2075844895787,13.260644856282996,0.15368163485928468,55.53149724006653
100,0.01,8,1.0,0.8,0.3,3,280.3970942631236,13.264128269732158,0.1537125478405803,53.28185439109802
100,0.01,8,1.0,0.8,0.3,5,280.26499026862626,13.271235216997955,0.15380785193157562,53.54464554786682
100,0.01,8,1.0,1.0,0.0,1,280.993103758758,13.225311867893542,0.15375073770830894,137.9784541130066
100,0.01,8,1.0,1.0,0.0,3,280.0890361314379,13.204617176307698,0.15386505971617184,127.71094369888306
100,0.01,8,1.0,1.0,0.0,5,284.2151444758312,13.313250718523516,0.15522396395565935,122.7424168586731
100,0.01,8,1.0,1.0,0.1,1,273.63458831094783,13.093318678631054,0.15285827298704874,88.85681772232056
100,0.01,8,1.0,1.0,0.1,3,273.62944458237945,13.108383682511867,0.15308929252911047,83.72504210472107
100,0.01,8,1.0,1.0,0.1,5,274.4634811514386,13.11360110826835,0.15314401827030427,82.61096906661987
100,0.01,8,1.0,1.0,0.3,1,271.48451227224473,13.050502003219744,0.1525136721975598,60.891528367996216
100,0.01,8,1.0,1.0,0.3,3,271.41156360490663,13.04895395983866,0.15250069677702272,59.13243913650513
100,0.01,8,1.0,1.0,0.3,5,272.9495711864711,13.078811789299188,0.15279315672142627,58.52522563934326
100,0.05,4,0.7,0.7,0.0,1,322.69624485841246,14.196844969736421,0.16240243149752973,17.59639000892639
100,0.05,4,0.7,0.7,0.0,3,324.4459085129789,14.24945504944644,0.16304578941554532,17.687233448028564
100,0.05,4,0.7,0.7,0.0,5,324.2412941172293,14.19130639441164,0.16247523868130087,17.696305990219116
100,0.05,4,0.7,0.7,0.1,1,321.58849790477313,14.171138587178014,0.16236703787053836,17.42853546142578
100,0.05,4,0.7,0.7,0.1,3,330.0759594317294,14.326926710215073,0.16392404946110734,17.241804838180542
